"run_id","trt","poiss_ds","fold_chg","eff_siz","trt_middleqi","trt_upperqi","nc_middleqi","nc_upperqi"
"SC12","cmp8078",3.66,1.55,51.75,121.82,133.04,70.06,78.63
"SC20","cmp2488",3.65,1.75,41.09,80.71,89.89,39.61,46.12
"SC10","cmp1336",3.62,2.31,28.71,43.43,50.23,14.72,18.8
"SC7","cmp5097",3.61,3.14,22.63,29.06,34.67,6.43,9.25
"SC20","cmp2045",3.59,1.73,40.23,79.85,88.98,39.61,46.12
"SC2","cmp1151",3.58,3.26,21.89,27.69,33.17,5.8,8.49
"SC20","cmp4932",3.58,1.73,40.15,79.77,88.89,39.61,46.12
"SC20","cmp3454",3.57,1.73,40.01,79.62,88.74,39.61,46.12
"SC12","cmp2537",3.56,1.53,50.07,120.13,131.28,70.06,78.63
"SC15","cmp5239",3.56,3.43,20.99,26.03,31.36,5.04,7.58
"SC9","cmp6248",3.56,2.05,31.26,51.65,59.04,20.39,25.13
"SC12","cmp7926",3.54,1.52,49.69,119.76,130.89,70.06,78.63
"SC12","cmp8309",3.53,1.52,49.59,119.66,130.79,70.06,78.63
"SC20","cmp7780",3.52,1.71,39.39,79,88.09,39.61,46.12
"SC20","cmp7302",3.52,1.71,39.28,78.9,87.98,39.61,46.12
"SC20","cmp5562",3.52,1.71,39.37,78.99,88.07,39.61,46.12
"SC12","cmp4232",3.51,1.52,49.23,119.29,130.4,70.06,78.63
"SC12","cmp7166",3.5,1.52,49.12,119.19,130.3,70.06,78.63
"SC20","cmp3261",3.5,1.71,39.05,78.66,87.73,39.61,46.12
"SC20","cmp5959",3.48,1.7,38.76,78.37,87.42,39.61,46.12
"SC20","cmp6884",3.48,1.7,38.84,78.45,87.5,39.61,46.12
"SC20","cmp1284",3.47,1.7,38.67,78.29,87.33,39.61,46.12
"SC10","cmp532",3.45,2.22,26.97,41.69,48.36,14.72,18.8
"SC20","cmp5473",3.43,1.68,38.07,77.68,86.69,39.61,46.12
"SC20","cmp8274",3.43,1.69,38.11,77.72,86.74,39.61,46.12
"SC12","cmp4680",3.4,1.49,47.48,117.54,128.57,70.06,78.63
"SC20","cmp1539",3.39,1.67,37.61,77.22,86.21,39.61,46.12
"SC20","cmp1460",3.39,1.67,37.61,77.23,86.21,39.61,46.12
"SC20","cmp8849",3.38,1.67,37.43,77.05,86.02,39.61,46.12
"SC20","cmp648",3.38,1.67,37.51,77.13,86.11,39.61,46.12
"SC16","cmp1564",3.37,2.22,25.73,39.66,46.17,13.93,17.9
"SC15","cmp1429",3.36,3.21,19.33,24.37,29.53,5.04,7.58
"SC20","cmp3473",3.35,1.66,37.03,76.64,85.6,39.61,46.12
"SC20","cmp1947",3.34,1.66,36.96,76.57,85.52,39.61,46.12
"SC18","cmp5707",3.32,3.34,18.48,22.93,27.95,4.45,6.86
"SC20","cmp2906",3.32,1.65,36.69,76.31,85.24,39.61,46.12
"SC20","cmp8554",3.32,1.66,36.74,76.35,85.28,39.61,46.12
"SC20","cmp1285",3.3,1.65,36.49,76.1,85.03,39.61,46.12
"SC20","cmp1734",3.29,1.65,36.26,75.88,84.79,39.61,46.12
"SC20","cmp260",3.28,1.64,36.16,75.78,84.68,39.61,46.12
"SC20","cmp2239",3.28,1.64,36.16,75.77,84.67,39.61,46.12
"SC12","cmp5355",3.25,1.47,45.17,115.23,126.16,70.06,78.63
"SC12","cmp7662",3.25,1.46,45.13,115.19,126.11,70.06,78.63
"SC12","cmp4246",3.25,1.46,45.05,115.12,126.04,70.06,78.63
"SC17","cmp3794",3.25,2.32,22.82,33.87,39.91,11.05,14.62
"SC20","cmp497",3.24,1.63,35.63,75.25,84.12,39.61,46.12
"SC16","cmp4885",3.23,2.14,24.37,38.3,44.7,13.93,17.9
"SC18","cmp8443",3.23,3.24,17.75,22.2,27.14,4.45,6.86
"SC20","cmp6043",3.23,1.63,35.49,75.11,83.97,39.61,46.12
"SC12","cmp461",3.22,1.46,44.69,114.75,125.66,70.06,78.63
"SC20","cmp388",3.22,1.63,35.42,75.03,83.89,39.61,46.12
"SC10","cmp1506",3.21,2.09,24.62,39.34,45.82,14.72,18.8
"SC20","cmp2549",3.21,1.62,35.24,74.85,83.7,39.61,46.12
"SC7","cmp4056",3.21,2.78,19.25,25.68,30.97,6.43,9.25
"SC20","cmp3464",3.2,1.62,35.11,74.73,83.57,39.61,46.12
"SC12","cmp5554",3.19,1.45,44.22,114.29,125.17,70.06,78.63
"SC16","cmp5836",3.18,2.11,23.89,37.81,44.17,13.93,17.9
"SC12","cmp9606",3.17,1.45,43.82,113.89,124.75,70.06,78.63
"SC18","cmp4393",3.17,3.17,17.27,21.72,26.61,4.45,6.86
"SC20","cmp1212",3.17,1.61,34.7,74.32,83.14,39.61,46.12
